"node";"server";"metric";"ts";"value"
"WC_hewqalive_node";"WC_hewqalive_server1";"JVM Runtime.HeapSize";"17:20:00";"1037502"
"WC_hewqalive_node";"WC_hewqalive_server1";"Thread Pools.WebContainer.PoolSize";"17:20:00";"15"
"WC_hewqalive_node";"WC_hewqalive_server1";"JVM Runtime.HeapSize";"17:21:00";"1037502"
"WC_hewqalive_node";"WC_hewqalive_server1";"Thread Pools.WebContainer.PoolSize";"17:21:00";"15"
"WC_hewqalive_node";"WC_hewqalive_server1";"JVM Runtime.HeapSize";"17:25:00";"1037502"
"WC_hewqalive_node";"WC_hewqalive_server1";"Thread Pools.WebContainer.PoolSize";"17:25:00";"15"
"WC_hewqalive_node";"WC_hewqalive_server1";"JVM Runtime.HeapSize";"17:30:00";"1037502"
"WC_hewqalive_node";"WC_hewqalive_server1";"Thread Pools.WebContainer.PoolSize";"17:30:00";"15"
"WC_hewqalive_node";"WC_hewqalive_server1";"JVM Runtime.HeapSize";"17:35:00";"1037502"
"WC_hewqalive_node";"WC_hewqalive_server1";"Thread Pools.WebContainer.PoolSize";"17:35:00";"15"
"WC_hewqalive_node";"WC_hewqalive_server1";"JVM Runtime.HeapSize";"17:40:00";"1037502"
"WC_hewqalive_node";"WC_hewqalive_server1";"Thread Pools.WebContainer.PoolSize";"17:40:00";"15"
"WC_hewqalive_node";"WC_hewqalive_server1";"JVM Runtime.HeapSize";"17:45:00";"1049534"
"WC_hewqalive_node";"WC_hewqalive_server1";"Thread Pools.WebContainer.PoolSize";"17:45:00";"15"
"WC_hewqalive_node";"WC_hewqalive_server1";"JVM Runtime.HeapSize";"17:50:00";"1037502"
"WC_hewqalive_node";"WC_hewqalive_server1";"Thread Pools.WebContainer.PoolSize";"17:50:00";"15"
"WC_hewqalive_node";"WC_hewqalive_server1";"JVM Runtime.HeapSize";"17:55:00";"1045182"
"WC_hewqalive_node";"WC_hewqalive_server1";"Thread Pools.WebContainer.PoolSize";"17:55:00";"15"
"WC_hewqalive_node";"WC_hewqalive_server1";"JVM Runtime.HeapSize";"18:00:00";"1037502"
"WC_hewqalive_node";"WC_hewqalive_server1";"Thread Pools.WebContainer.PoolSize";"18:00:00";"15"
"WC_hewqalive_node";"WC_hewqalive_server1";"JVM Runtime.HeapSize";"18:05:00";"1049534"
"WC_hewqalive_node";"WC_hewqalive_server1";"Thread Pools.WebContainer.PoolSize";"18:05:00";"15"
"WC_hewqalive_node";"WC_hewqalive_server1";"JVM Runtime.HeapSize";"18:10:00";"1049534"
"WC_hewqalive_node";"WC_hewqalive_server1";"Thread Pools.WebContainer.PoolSize";"18:10:00";"15"
"WC_hewqalive_node";"WC_hewqalive_server1";"JVM Runtime.HeapSize";"18:15:00";"1049534"
"WC_hewqalive_node";"WC_hewqalive_server1";"Thread Pools.WebContainer.PoolSize";"18:15:00";"15"
"WC_hewqalive_node";"WC_hewqalive_server1";"JVM Runtime.HeapSize";"18:20:00";"1049534"
"WC_hewqalive_node";"WC_hewqalive_server1";"Thread Pools.WebContainer.PoolSize";"18:20:00";"15"
"WC_hewqalive_node";"WC_hewqalive_server1";"JVM Runtime.HeapSize";"18:25:00";"1049534"
"WC_hewqalive_node";"WC_hewqalive_server1";"Thread Pools.WebContainer.PoolSize";"18:25:00";"15"
"WC_hewqalive_node";"WC_hewqalive_server1";"JVM Runtime.HeapSize";"18:30:00";"1049534"
"WC_hewqalive_node";"WC_hewqalive_server1";"Thread Pools.WebContainer.PoolSize";"18:30:00";"15"
"WC_hewqalive_node";"WC_hewqalive_server1";"JVM Runtime.HeapSize";"18:35:00";"1049534"
"WC_hewqalive_node";"WC_hewqalive_server1";"Thread Pools.WebContainer.PoolSize";"18:35:00";"15"
"WC_hewqalive_node";"WC_hewqalive_server1";"JVM Runtime.HeapSize";"18:40:00";"1049534"
"WC_hewqalive_node";"WC_hewqalive_server1";"Thread Pools.WebContainer.PoolSize";"18:40:00";"15"
"WC_hewqalive_node";"WC_hewqalive_server1";"JVM Runtime.HeapSize";"18:45:00";"1049534"
"WC_hewqalive_node";"WC_hewqalive_server1";"Thread Pools.WebContainer.PoolSize";"18:45:00";"15"
"WC_hewqalive_node";"WC_hewqalive_server1";"JVM Runtime.HeapSize";"18:50:00";"1049534"
"WC_hewqalive_node";"WC_hewqalive_server1";"Thread Pools.WebContainer.PoolSize";"18:50:00";"15"
"WC_hewqalive_node";"WC_hewqalive_server1";"JVM Runtime.HeapSize";"18:55:00";"1049534"
"WC_hewqalive_node";"WC_hewqalive_server1";"Thread Pools.WebContainer.PoolSize";"18:55:00";"15"
"WC_hewqalive_node";"WC_hewqalive_server1";"JVM Runtime.HeapSize";"19:00:00";"1049534"
"WC_hewqalive_node";"WC_hewqalive_server1";"Thread Pools.WebContainer.PoolSize";"19:00:00";"15"
